Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9821000,6912000,8358000,7802000
Depreciation & amortization,8004000,7621000,7835000,8171000
Change in working capital,72000,-18000,-167000,714000
Other working capital,-3069000,-158000,9830000,4053000
Other non-cash items,-1160000,-2479000,435000,494000
Net cash provided by operating activites,14782000,13999000,16639000,16629000
Investments in property plant and equipment,-17851000,-14157000,-6809000,-12576000
Acquisitions net,-,-,-143000,-
Purchases of investments,-43000,-40000,-36000,-65000
Sales/Maturities of investments,652000,3597000,449000,43000
Other investing activites,-325000,10201000,-8027000,6306000
Net cash used for investing activites,-17475000,-255000,-13268000,-6303000
Net change in cash,2698000,-7138000,6739000,611000
Cash at beginning of period,21609000,31299000,24559000,23948000
Cash at end of period,24826000,24161000,31299000,24559000
Operating Cash Flow,14782000,13999000,16639000,16629000
Capital Expenditure,-17851000,-14157000,-6809000,-12576000
Free Cash Flow,-3069000,-158000,9830000,4053000
