Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,48465,29914,21176,19754,-11703
Income Before Tax,45909,27421,18719,17567,-13876
Income Tax Expense,0,0,0,0,0
Income from Continuing Operations,45909,27421,18719,17567,-13876
Net Income,45909,27421,18719,17567,-13876
Net Income available to common shareholders,45909,27421,18719,17567,-13876
Basic EPS,-,0.23,0.20,0.19,-0.16
Diluted EPS,-,0.23,0.20,0.19,-0.16
Basic Average Shares,-,117906,95122,94109,86714
Diluted Average Shares,-,117906,95122,94109,86714
