Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-140562,-306716,-141865,289991
Depreciation & amortization,-,329403,311979,297192
Change in working capital,-,-244414,-36803,-16244
Inventory,-,-126085,-4907,26338
Other working capital,-,-487083,-156978,186552
Other non-cash items,-,59592,61730,-286712
Net cash provided by operating activites,-,-102796,147912,359766
Investments in property plant and equipment,-,-384287,-304890,-173214
Purchases of investments,-,-1117,-1138,-221194
Sales/Maturities of investments,-,67055,-,-
Other investing activites,-,18291,57041,-419
Net cash used for investing activites,-,-290919,-229540,-383870
Net change in cash,-,-34076,-160095,186731
Cash at beginning of period,-,1538362,1698457,1434482
Cash at end of period,-,1504285,1538362,1698457
Operating Cash Flow,-,-102796,147912,359766
Capital Expenditure,-,-384287,-304890,-173214
Free Cash Flow,-,-487083,-156978,186552
