Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,203590,182648,176094,113329
Depreciation & amortization,-,76223,45229,31601
Change in working capital,-,29945,-29519,-26017
Other working capital,-,158164,154305,27936
Other non-cash items,-,-290929,39,27334
Net cash provided by operating activites,-,184359,166515,110828
Investments in property plant and equipment,-,-26195,-12210,-82892
Acquisitions net,-,-,-,-114476
Sales/Maturities of investments,-,-,-,23823
Other investing activites,-,-104400,-,46228
Net cash used for investing activites,-,-130595,-12210,-124792
Net change in cash,-,231627,80997,-62637
Cash at beginning of period,-,576974,495977,558614
Cash at end of period,-,808602,576974,495977
Operating Cash Flow,-,184359,166515,110828
Capital Expenditure,-,-26195,-12210,-82892
Free Cash Flow,-,158164,154305,27936
