Breakdown,ttm,12/31/2019,3/31/2018,3/31/2017
Net Income,-6604000,-6604000,26352000,3574000
Depreciation & amortization,26939000,26939000,23871000,30526000
Change in working capital,-3755000,-3755000,-6981000,-571000
Inventory,5466000,5466000,-2353000,1235000
Other working capital,813000,813000,2847000,-2450000
Other non-cash items,-186000,-186000,4087000,-861000
Net cash provided by operating activites,26249000,26249000,32414000,26768000
Investments in property plant and equipment,-25436000,-25436000,-29567000,-29218000
Acquisitions net,-,-,-6914000,-3443000
Purchases of investments,-359000,-359000,-7498000,-8857000
Sales/Maturities of investments,3989000,3989000,15024000,8917000
Other investing activites,-2148000,-2148000,-2078000,-1084000
Net cash used for investing activites,-21759000,-21759000,-1797000,-31429000
Net change in cash,-5647000,-5647000,-3372000,-2454000
Cash at beginning of period,42434000,42434000,39850000,42271000
Cash at end of period,37268000,37268000,36478000,39850000
Operating Cash Flow,26249000,26249000,32414000,26768000
Capital Expenditure,-25436000,-25436000,-29567000,-29218000
Free Cash Flow,813000,813000,2847000,-2450000
