Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4708873,3790748,3519017,1683736
Liabilities,,,,
Total Liabilities,3965433,3215463,3043636,1520546
Stockholders' Equity,,,,
Common Stock,248,224,210,125
Retained Earnings,221103,167173,123537,98451
Accumulated other comprehensive income,7817,-336,3597,-1542
Total stockholders' equity,743440,575285,475381,163190
Total liabilities and stockholders' equity,4708873,3790748,3519017,1683736
