Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2502077,2338668,2623075,3551636
Depreciation & amortization,-,3321434,3642613,4195250
Change in working capital,-,-526812,-445470,206136
Inventory,-,8520,62288,-8240
Other working capital,-,4918859,4992107,9053733
Other non-cash items,-,-133518,36573,-5153737
Net cash provided by operating activites,-,4918859,4992107,9053733
Purchases of investments,-,-,-29040,-379474
Other investing activites,-,-2429272,-773902,-4669183
Net cash used for investing activites,-,-2429272,-802942,-5048657
Net change in cash,-,-87417,1307566,-726952
Cash at beginning of period,-,5601336,4293770,5020722
Cash at end of period,-,5513918,5601336,4293770
Operating Cash Flow,-,4918859,4992107,9053733
Free Cash Flow,-,4918859,4992107,9053733
