Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-24.109,-27.02,-14.651,-31.691,-3.047
Acquisitions net,-,838.895,-,-,-
Net cash used for investing activites,814.786,811.875,-14.651,-31.691,-3.047
Debt repayment,-,-,-,-,-250
Common stock issued,2823,2010,4575,49.868,9450
Common stock repurchased,-,-43.563,-187.234,-,-557
Net cash used privided by (used for) financing activities,2780,1966,4388,49.868,9993
Net change in cash,-1337,-1890,-480.774,-4174,7306
Cash at beginning of period,1687,2729,3210,7384,78.236
Cash at end of period,350.025,838.987,2729,3210,7384
Capital Expenditure,-24.109,-27.02,-14.651,-31.691,-3.047
Free Cash Flow,-4957,-4695,-4869,-4224,-2687
