Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-18.371,-85.255,-59.591,-2691
Acquisitions net,-,-,-,-1039
Other investing activites,-,-,-,-659.157
Net cash used for investing activites,-18.371,-85.255,-59.591,-4390
Debt repayment,-,-,-237.542,-612.603
Common stock issued,-,1800,2942,10546
Common stock repurchased,-,-115.264,-,-709.324
Other financing activites,-,-,-,-250
Net cash used privided by (used for) financing activities,385.109,1380,2954,8974
Net change in cash,-252.229,-212.02,-55.117,-42.102
Cash at beginning of period,306.923,638.834,693.951,736.053
Cash at end of period,54.694,426.814,638.834,693.951
Capital Expenditure,-18.371,-85.255,-59.591,-2691
Free Cash Flow,-637.338,-1592,-3010,-7318
