Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,451420,451420,426174,399216,376696
Interest Expense,55979,55979,38626,25914,22506
Income Before Tax,155432,155432,137002,128161,118801
Income Tax Expense,34411,34411,24436,46010,40392
Income from Continuing Operations,121021,121021,112566,82151,78409
Net Income,121021,121021,112566,82151,78409
Net Income available to common shareholders,121021,121021,112566,82151,78409
Basic EPS,-,-,2.58,1.89,1.81
Diluted EPS,-,-,2.56,1.87,1.80
Basic Average Shares,-,-,43630,43466,43320
Diluted Average Shares,-,-,44020,43905,43622
