Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2356878,2179070,2136081,2050579
Liabilities,,,,
Total Liabilities,2071150,1982116,1956487,1881794
Stockholders' Equity,,,,
Common Stock,17050,13775,13699,13534
Retained Earnings,178092,159037,140986,133307
Accumulated other comprehensive income,1936,-3601,-1131,-1938
Total stockholders' equity,285728,196954,179594,168785
Total liabilities and stockholders' equity,2356878,2179070,2136081,2050579
