Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-2074000,402000,2717000,3980000
Depreciation & amortization,-,12075000,11915000,10592000
Change in working capital,-,1260000,-4844000,1171000
Inventory,-,1983000,-2569000,-2299000
Other working capital,-,4056000,-11248000,-6397000
Other non-cash items,-,353000,231000,-402000
Net cash provided by operating activites,-,17603000,9421000,17191000
Investments in property plant and equipment,-,-13547000,-20669000,-23588000
Sales/Maturities of investments,-,-,34000,65000
Other investing activites,-,-260000,-179000,896000
Net cash used for investing activites,-,-13807000,-20814000,-22627000
Net change in cash,-,4087000,-4314000,3695000
Cash at beginning of period,-,20882000,25197000,21501000
Cash at end of period,-,24970000,20882000,25197000
Operating Cash Flow,-,17603000,9421000,17191000
Capital Expenditure,-,-13547000,-20669000,-23588000
Free Cash Flow,-,4056000,-11248000,-6397000
