Breakdown,ttm,6/30/2019,6/30/2018
Common stock issued,-,-,320526
Common stock repurchased,-,-176.943,-
Dividends Paid,-33022,-36024,-29850
Net cash used privided by (used for) financing activities,-33022,-36201,290676
Net change in cash,2175,-16325,17039
Cash at beginning of period,96581,119612,102573
Cash at end of period,98756,103287,119612
Free Cash Flow,35197,19876,-273637
