Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,94903000,104176000,114991000,121136000
Liabilities,,,,
Total Liabilities,91554000,100629000,111506000,117413000
Stockholders' Equity,,,,
Common Stock,4000,4000,4000,4000
Retained Earnings,3664000,3218000,3004000,2890000
Accumulated other comprehensive income,-91000,113000,61000,6000
Total stockholders' equity,3336000,3519000,3454000,3699000
Total liabilities and stockholders' equity,94903000,104176000,114991000,121136000
