Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2380,-1763,-,-,-175.4
Acquisitions net,-,-,0.224,-,-175.4
Other investing activites,-,-5.125,-745.644,-,0.075
Net cash used for investing activites,-2480,-1768,-745.42,-,-175.325
Common stock issued,2715,3722,5316,253.919,1065
Common stock repurchased,-,-224.543,-,-,-
Other financing activites,-,-,-21.831,-,-
Net cash used privided by (used for) financing activities,4075,3498,5294,683.23,1065
Net change in cash,578.086,-468.457,565.351,-67.696,20.353
Cash at beginning of period,21.628,569.399,4.048,71.744,51.391
Cash at end of period,599.714,100.942,569.399,4.048,71.744
Capital Expenditure,-2380,-1763,-,-,-175.4
Free Cash Flow,-3397,-3961,-3984,-750.926,-1045
