Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6191000,8971000,9163000,7886000
Depreciation & amortization,-,2490000,2013000,1789000
Change in working capital,-,-2192000,-2245000,-864000
Inventory,-,-560000,-654000,-733000
Other working capital,-,6171000,3106000,6211000
Other non-cash items,-,-358000,313000,-78000
Net cash provided by operating activites,-,9198000,7053000,9347000
Investments in property plant and equipment,-,-3027000,-3947000,-3136000
Acquisitions net,-,-,-3070000,-
Purchases of investments,-,-1501000,-1376000,-1931000
Sales/Maturities of investments,-,837000,100000,811000
Other investing activites,-,-3000,-5137000,-206000
Net cash used for investing activites,-,-3671000,-13258000,-4211000
Net change in cash,-,2612000,-8511000,2991000
Cash at beginning of period,-,22105000,30617000,27625000
Cash at end of period,-,24717000,22105000,30617000
Operating Cash Flow,-,9198000,7053000,9347000
Capital Expenditure,-,-3027000,-3947000,-3136000
Free Cash Flow,-,6171000,3106000,6211000
