Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-6.123,-6.46,-1.145,-
Net cash used for investing activites,-6.123,-6.46,-1.145,4.545
Debt repayment,-,-18.479,-9.802,-
Other financing activites,-,-,-500,-
Net cash used privided by (used for) financing activities,-667.969,-18.479,-509.802,-
Net change in cash,-283.609,-1637,-1682,343.28
Cash at beginning of period,541.53,1936,3618,3274
Cash at end of period,257.921,298.765,1936,3618
Capital Expenditure,-6.123,-6.46,-1.145,-
Free Cash Flow,384.36,-1619,-1172,338.735
