Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1079954,1137603,1163607,543048
Liabilities,,,,
Total Liabilities,961844,1023693,1057351,501128
Stockholders' Equity,,,,
Common Stock,102206,101134,100476,29052
Retained Earnings,16140,15063,6936,14845
Accumulated other comprehensive income,-348,-2619,-1579,-2197
Total stockholders' equity,118110,113910,106256,41920
Total liabilities and stockholders' equity,1079954,1137603,1163607,543048
