Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,4307,1485,2118,1117
Liabilities,,,,
Total Liabilities,82.16,264.813,380.817,252.469
Stockholders' Equity,,,,
Common Stock,36461,32771,32771,32560
Retained Earnings,-32236,-31702,-31035,-31695
Accumulated other comprehensive income,-,150.907,-,-
Total stockholders' equity,4225,1220,1737,864.825
Total liabilities and stockholders' equity,4307,1485,2118,1117
