Breakdown,11/30/2019,11/30/2018,11/30/2017,11/30/2016
Total Assets,440490,394440,419014,369025
Liabilities,,,,
Total Liabilities,36703,34167,51001,50691
Stockholders' Equity,,,,
Common Stock,10673,10673,10673,10714
Total stockholders' equity,403787,360273,368014,318334
Total liabilities and stockholders' equity,440490,394440,419014,369025
