Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,68244,73746,74074,68284
Liabilities,,,,
Total Liabilities,1405,71,121,238
Stockholders' Equity,,,,
Common Stock,67374,74644,74663,69537
Retained Earnings,-1496,-1496,-1496,-1496
Accumulated other comprehensive income,961,527,786,5
Total stockholders' equity,66839,73675,73953,68046
Total liabilities and stockholders' equity,68244,73746,74074,68284
