Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,22075271,23598600,22171935
Liabilities,,,
Total Liabilities,19707943,20981892,19065830
Stockholders' Equity,,,
Common Stock,44620,44620,892294
Retained Earnings,591941,-527128,-544930
Total stockholders' equity,2341330,2585558,3071146
Total liabilities and stockholders' equity,22075271,23598600,22171935
