Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-493660,2023856,103532,142135
Depreciation & amortization,-,373139,184952,168999
Change in working capital,-,-1070478,-133718,-206723
Inventory,-,-43477,-5885,-7555
Other working capital,-,-14665225,-5051131,-2267067
Other non-cash items,-,372099,38885,-27039
Net cash provided by operating activites,-,-3640091,-1544855,-1285263
Investments in property plant and equipment,-,-11025134,-3506276,-981804
Purchases of investments,-,-3038940,-835784,-3124020
Sales/Maturities of investments,-,25487,1256580,4014237
Other investing activites,-,12554,70397,-36127
Net cash used for investing activites,-,-7263188,-1124063,1373594
Net change in cash,-,-246466,249411,53646
Cash at beginning of period,-,1701419,1452008,1398362
Cash at end of period,-,1454952,1701419,1452008
Operating Cash Flow,-,-3640091,-1544855,-1285263
Capital Expenditure,-,-11025134,-3506276,-981804
Free Cash Flow,-,-14665225,-5051131,-2267067
