Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017
Net Income,370526,409990,611358,268305
Depreciation & amortization,-,176839,54400,21751
Change in working capital,-,-76238,-77113,50555
Other working capital,-,-636967,239313,358409
Other non-cash items,-,106692,-288492,60633
Net cash provided by operating activites,-,431549,388192,484819
Investments in property plant and equipment,-,-1068516,-148879,-126410
Acquisitions net,-,-2055893,-73358,-
Purchases of investments,-,-1043932,-277592,-
Other investing activites,-,26616,-33833,-23309
Net cash used for investing activites,-,-4141725,-533662,-149719
Net change in cash,-,17249138,-94430,5170172
Cash at beginning of period,-,5365847,5460278,290106
Cash at end of period,-,22614986,5365847,5460278
Operating Cash Flow,-,431549,388192,484819
Capital Expenditure,-,-1068516,-148879,-126410
Free Cash Flow,-,-636967,239313,358409
