Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,122625000,124832000,128759000,132227000
Selling General and Administrative,70874000,71452000,74488000,76200000
Total Operating Expenses,105090000,103949000,108684000,112683000
Interest Expense,2121000,2834000,4083000,3471000
Income Before Tax,17267000,19931000,15087000,22841000
Income Tax Expense,6265000,5489000,1904000,5798000
Income from Continuing Operations,11002000,14442000,13183000,17043000
Net Income,10787000,14141000,13686000,16704000
Net Income available to common shareholders,10787000,14141000,13686000,16704000
Basic EPS,-,35.80,34.30,41.87
Diluted EPS,-,35.78,34.27,41.85
Basic Average Shares,-,394922,398961,398903
Diluted Average Shares,-,395221,399358,399140
