Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,6717,9685,12171,16589
Liabilities,,,,
Total Liabilities,365.829,338.384,218.643,301.56
Stockholders' Equity,,,,
Common Stock,19477,19477,19477,19379
Retained Earnings,-16424,-13807,-10316,-6611
Accumulated other comprehensive income,3298,3677,2791,3520
Total stockholders' equity,6351,9347,11952,16288
Total liabilities and stockholders' equity,6717,9685,12171,16589
