Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,721594,574862,177959,112621
Depreciation & amortization,-,517005,621126,418038
Stock based compensation,-,11901,11772,13913
Change in working capital,-,953269,530516,160349
Inventory,-,-278,12125,4341
Other working capital,-,1887224,1137145,875795
Other non-cash items,-,-221,-2133,-14237
Net cash provided by operating activites,-,2284754,1538724,1178864
Investments in property plant and equipment,-,-397530,-401579,-303069
Acquisitions net,-,-,-130824,-
Purchases of investments,-,-472279,-409881,-956702
Sales/Maturities of investments,-,265703,126418,56708
Other investing activites,-,133450,42557,9492
Net cash used for investing activites,-,-470656,-773309,-1193571
Net change in cash,-,459294,551549,-283633
Cash at beginning of period,-,4839223,4263075,4546708
Cash at end of period,-,5298518,4839223,4263075
Operating Cash Flow,-,2284754,1538724,1178864
Capital Expenditure,-,-397530,-401579,-303069
Free Cash Flow,-,1887224,1137145,875795
