Breakdown,ttm,3/31/2019
Total Revenue,128565000,104799000
Selling General and Administrative,69443000,57301000
Total Operating Expenses,105587000,88185000
Interest Expense,6280000,6454000
Income Before Tax,22817000,61441000
Income Tax Expense,6994000,3867000
Income from Continuing Operations,15823000,57574000
Net Income,15124000,56844000
Net Income available to common shareholders,15124000,56844000
Basic Average Shares,-,39821
Diluted Average Shares,-,39973
