Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,19891000,19376000,14017000,15914000
Depreciation & amortization,17375000,16280000,14239000,8645000
Change in working capital,55000,3632000,-6055000,-2551000
Inventory,-12140000,2176000,5200000,-6108000
Other working capital,24260000,32215000,11666000,4434000
Other non-cash items,183000,128000,1263000,1041000
Net cash provided by operating activites,41627000,42923000,28472000,20628000
Investments in property plant and equipment,-17367000,-10708000,-16806000,-16194000
Acquisitions net,-,-5546000,-111195000,-
Other investing activites,24000,-566000,101000,-12000
Net cash used for investing activites,-22889000,-16820000,-127900000,-16206000
Net change in cash,7423000,17074000,9221000,-2325000
Cash at beginning of period,41548000,39992000,30771000,33096000
Cash at end of period,49139000,57067000,39992000,30771000
Operating Cash Flow,41627000,42923000,28472000,20628000
Capital Expenditure,-17367000,-10708000,-16806000,-16194000
Free Cash Flow,24260000,32215000,11666000,4434000
