Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,17659000,17685000,18177000,21284000,20693000
Operating Income or Loss,-,-,-,-,8178000
Interest Expense,16985000,16738000,15813000,14162000,14856000
Income Before Tax,9075000,8920000,9895000,9627000,8178000
Income Tax Expense,2642000,2609000,2784000,3206000,2458000
Income from Continuing Operations,6433000,6311000,7111000,6421000,5720000
Net Income,6250000,5953000,6400000,6406000,5709000
Net Income available to common shareholders,6250000,5953000,6400000,6406000,5709000
Basic EPS,-,-,2.22,2.20,1.97
Diluted EPS,-,-,2.12,2.11,1.89
Basic Average Shares,-,-,2888300,2910300,2891700
Diluted Average Shares,-,-,3017445,3038899,3015848
