Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,799026,374836,348050,452754
Depreciation & amortization,-,416523,413162,376115
Change in working capital,-,-258447,-271024,-44685
Inventory,-,-132678,-82250,212083
Other working capital,-,738525,351809,855402
Other non-cash items,-,10571,10060,-13521
Net cash provided by operating activites,-,738525,351809,855402
Purchases of investments,-,-82819,-1585,-1441
Sales/Maturities of investments,-,111413,49629,-
Other investing activites,-,-334603,-305125,-510442
Net cash used for investing activites,-,-306009,-257081,-511883
Net change in cash,-,235261,-172084,87538
Cash at beginning of period,-,2035492,2207577,2120039
Cash at end of period,-,2270754,2035492,2207577
Operating Cash Flow,-,738525,351809,855402
Free Cash Flow,-,738525,351809,855402
