Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,28846809,26939781,25741439,24813119
Liabilities,,,,
Total Liabilities,24532894,22883339,21726653,20896324
Stockholders' Equity,,,,
Common Stock,3514000,3512874,3517258,3515299
Retained Earnings,770366,602482,522520,422839
Accumulated other comprehensive income,29549,-58914,-24992,-21343
Total stockholders' equity,4313915,4056442,4014786,3916795
Total liabilities and stockholders' equity,28846809,26939781,25741439,24813119
