Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Total Revenue,21088,21088,21985,22420
Interest Expense,4508,4508,3998,4368
Income Before Tax,5232,5232,5206,6331
Income Tax Expense,988,988,350,1989
Income from Continuing Operations,4244,4244,4856,4342
Net Income,4239,4239,4851,4337
Net Income available to common shareholders,4239,4239,4006,3437
Basic EPS,-,-,1.22,1.20
Diluted EPS,-,-,1.22,1.19
Basic Average Shares,-,-,3282,2858
Diluted Average Shares,-,-,3298,2877
