Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1044186,900999,761250
Liabilities,,,
Total Liabilities,914399,809519,679967
Stockholders' Equity,,,
Common Stock,91209,67926,67499
Retained Earnings,32877,18624,9387
Accumulated other comprehensive income,-548,-349.853,-214.966
Total stockholders' equity,129787,91480,81284
Total liabilities and stockholders' equity,1044186,900999,761250
