Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-21798,-14450,-20524
Acquisitions net,-2380,-1453,-41920
Other investing activites,12,-24,920
Net cash used for investing activites,-23925,-15686,-61524
Debt repayment,-14988,-11740,-8797
Dividends Paid,-10050,-13668,-17688
Net cash used privided by (used for) financing activities,-8495,-10462,14805
Net change in cash,2393,-3010,-601
Cash at beginning of period,11690,14302,14903
Cash at end of period,14083,11292,14302
Capital Expenditure,-21798,-14450,-20524
Free Cash Flow,13015,8688,25594
