Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Net Income,2952000,3633000,4388000,4663000,3966000
Depreciation & amortization,-,2008000,1979000,1860000,1306000
Change in working capital,-,748000,-2031000,1003000,1719000
Inventory,-,-6000,457000,639000,-378000
Other working capital,-,4110000,1958000,7026000,4618000
Other non-cash items,-,-695000,-192000,294000,-587000
Net cash provided by operating activites,-,5725000,3465000,7835000,5186000
Investments in property plant and equipment,-,-1615000,-1507000,-809000,-568000
Acquisitions net,-,-1160000,-1121000,-899000,-
Purchases of investments,-,-540000,-1128000,-2898000,-538000
Sales/Maturities of investments,-,2594000,-,920000,349000
Other investing activites,-,-235000,267000,-53000,-558000
Net cash used for investing activites,-,-956000,-3489000,-3726000,-1315000
Net change in cash,-,64000,-4344000,6490000,801000
Cash at beginning of period,-,18753000,23097000,16607000,14692000
Cash at end of period,-,19141000,18753000,23097000,16607000
Operating Cash Flow,-,5725000,3465000,7835000,5186000
Capital Expenditure,-,-1615000,-1507000,-809000,-568000
Free Cash Flow,-,4110000,1958000,7026000,4618000
