Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,255605,230310,83218,224718
Depreciation & amortization,-,554182,494028,458010
Change in working capital,-,-218112,-77423,61776
Inventory,-,43496,25569,83369
Other working capital,-,83348,-171182,-19088
Other non-cash items,-,67594,-21791,77402
Net cash provided by operating activites,-,745154,477686,663586
Investments in property plant and equipment,-,-661806,-648868,-682674
Purchases of investments,-,-1978975,-3561,-3504
Sales/Maturities of investments,-,1773145,-,1000
Other investing activites,-,1097,55417,-123168
Net cash used for investing activites,-,-865519,-592471,-806623
Net change in cash,-,284476,-21347,23257
Cash at beginning of period,-,1145449,1166797,1143539
Cash at end of period,-,1429926,1145449,1166797
Operating Cash Flow,-,745154,477686,663586
Capital Expenditure,-,-661806,-648868,-682674
Free Cash Flow,-,83348,-171182,-19088
