Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,72087000,46483000,47216000,69931000
Depreciation & amortization,-,215628000,222016000,226024000
Change in working capital,-,-47712000,-22716000,-26352000
Inventory,-,-8589000,-7291000,5812000
Other working capital,-,262804000,324019000,278147000
Other non-cash items,-,46256000,72949000,11234000
Net cash provided by operating activites,-,262804000,324019000,278147000
Other investing activites,-,-248153000,-272956000,-254713000
Net cash used for investing activites,-,-250570000,-273915000,-256341000
Net change in cash,-,-57228000,13908000,-34213000
Cash at beginning of period,-,242171000,228262000,262476000
Cash at end of period,-,184942000,242171000,228262000
Operating Cash Flow,-,262804000,324019000,278147000
Free Cash Flow,-,262804000,324019000,278147000
