Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,385267,467145,454121,612457
Liabilities,,,,
Total Liabilities,137268,152421,65703,226464
Stockholders' Equity,,,,
Common Stock,484.489,476.509,514.794,514.794
Retained Earnings,-204325,-142723,-25072,-43623
Total stockholders' equity,247999,314724,388419,385992
Total liabilities and stockholders' equity,385267,467145,454121,612457
