Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-,-30,-142.449
Purchases of investments,-1180,-711.32,-
Net cash used for investing activites,-1939,-741.32,-142.449
Common stock issued,-,-,6500
Common stock repurchased,-,-,-407.475
Net cash used privided by (used for) financing activities,-,-,6093
Net change in cash,-2975,-1716,4908
Cash at beginning of period,4168,4927,19.062
Cash at end of period,1193,3211,4927
Capital Expenditure,-,-30,-142.449
Free Cash Flow,-1796,-1005,-1185
