Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,22292000,21859000,21658000,22903000
Selling General and Administrative,15792000,16108000,16194000,16409000
Total Operating Expenses,18548000,18654000,17906000,16409000
Interest Expense,882000,658000,612000,824000
Income Before Tax,4154000,3640000,3294000,4043000
Income Tax Expense,1279000,1061000,908000,958000
Income from Continuing Operations,2875000,2579000,2386000,3085000
Net Income,2792000,2521000,2332000,2978000
Net Income available to common shareholders,2792000,2521000,2332000,2978000
Basic EPS,-,225.83,244.52,312.29
Diluted EPS,-,225.45,244.18,311.94
Basic Average Shares,-,11163,9538,9536
Diluted Average Shares,-,11182,9550,9547
