Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,513942,375211,284898,83300
Liabilities,,,,
Total Liabilities,286816,134385,69267,24200
Stockholders' Equity,,,,
Common Stock,156972,189924,191507,67700
Retained Earnings,45189,35320,15631,-
Accumulated other comprehensive income,24965,16743,8493,-8600
Total stockholders' equity,227126,241987,215631,59100
Total liabilities and stockholders' equity,513942,375211,284898,83300
