Breakdown,ttm,12/31/2019,12/31/2018,9/30/2018,9/30/2017,9/30/2016
Total Revenue,56193,56193,-,37673,27019,23992
Interest Expense,16910,16910,-,8593,5610,5007
Income Before Tax,12277,12277,-,6609,3822,3859
Income Tax Expense,2814,2814,-,2326,1323,1286
Income from Continuing Operations,9463,9463,-,4283,2499,2573
Net Income,9463,9463,-,4283,2499,2573
Net Income available to common shareholders,9463,9463,-,4283,2499,2573
Basic EPS,-,-,0.00,0.72,0.47,0.59
Diluted EPS,-,-,0.00,0.58,0.46,0.59
Basic Average Shares,-,-,-,10914,5317,5278
Diluted Average Shares,-,-,-,10914,5379,5278
