Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,398800,409852,411528,285506
Depreciation & amortization,-,83159,87209,84925
Change in working capital,-,-450540,133124,143942
Other working capital,-,-92694,623198,374126
Other non-cash items,-,20537,-580,-146
Net cash provided by operating activites,-,-26766,691765,465953
Investments in property plant and equipment,-,-65928,-68567,-91827
Acquisitions net,-,-17000,-,-
Purchases of investments,-,-338179,-49993,-
Sales/Maturities of investments,-,50025,61600,9726
Other investing activites,-,21290,2201,-8889
Net cash used for investing activites,-,-349792,-39269,-88614
Net change in cash,-,136373,527498,-72404
Cash at beginning of period,-,2840120,2312622,2385026
Cash at end of period,-,2976494,2840120,2312622
Operating Cash Flow,-,-26766,691765,465953
Capital Expenditure,-,-65928,-68567,-91827
Free Cash Flow,-,-92694,623198,374126
