Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3526227,3503619,1923329,1297355
Depreciation & amortization,12761353,12026811,11757293,11264436
Change in working capital,1792985,-3876298,1143028,-1702156
Inventory,-1309336,2869180,-1009445,-3230747
Other working capital,352111,-5880816,-881986,-3505459
Other non-cash items,1893867,1719133,1980257,627253
Net cash provided by operating activites,18195688,12362618,16729994,11415507
Investments in property plant and equipment,-17843577,-18243434,-17611980,-14920966
Acquisitions net,-180,-252727,-10000,-
Purchases of investments,-,-,-,-500000
Other investing activites,-678719,727524,-247043,-232477
Net cash used for investing activites,-16900788,-15840133,-17819121,-14867507
Net change in cash,1792730,-1593491,2224827,-2896756
Cash at beginning of period,1563443,3291483,1066656,3963413
Cash at end of period,3356172,1697992,3291483,1066656
Operating Cash Flow,18195688,12362618,16729994,11415507
Capital Expenditure,-17843577,-18243434,-17611980,-14920966
Free Cash Flow,352111,-5880816,-881986,-3505459
