Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2074906,2053906,1014762,491113
Depreciation & amortization,-,285389,253975,220364
Change in working capital,-,132212,278663,114613
Other working capital,-,2386834,2649030,1216471
Other non-cash items,-,23547,562972,175232
Net cash provided by operating activites,-,2565077,2751711,1303015
Investments in property plant and equipment,-,-178243,-102681,-86544
Sales/Maturities of investments,-,173244,-,-
Other investing activites,-,5373,-1288,-29362
Net cash used for investing activites,-,614,-102198,236357
Net change in cash,-,349806,1914218,1794159
Cash at beginning of period,-,5283739,3369520,1575360
Cash at end of period,-,5633545,5283739,3369520
Operating Cash Flow,-,2565077,2751711,1303015
Capital Expenditure,-,-178243,-102681,-86544
Free Cash Flow,-,2386834,2649030,1216471
