Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,37343,20730,4883,50364
Depreciation & amortization,-,3317,3455,3053
Change in working capital,-,26214,-255814,47445
Inventory,-,-31022,-,-
Other working capital,483008,39385,-252827,99044
Other non-cash items,-,-5851,-4087,932
Net cash provided by operating activites,489859,46236,-238054,99739
Investments in property plant and equipment,-,-6851,-14773,-695
Acquisitions net,-,-2965,-2,0
Purchases of investments,-,-500,-,-8627
Sales/Maturities of investments,-,0,-,-
Other investing activites,-,13983,-27414,87902
Net cash used for investing activites,21262,30211,-42184,78580
Net change in cash,-40568,-7429,-41824,144455
Cash at beginning of period,244540,222147,264392,119526
Cash at end of period,203972,215320,222147,264392
Operating Cash Flow,489859,46236,-238054,99739
Capital Expenditure,-,-6851,-14773,-695
Free Cash Flow,483008,39385,-252827,99044
