Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2788535,2974002,1691059,1395551
Liabilities,,,,
Total Liabilities,2380845,2599381,1425883,1213966
Stockholders' Equity,,,,
Common Stock,290395,288610,205927,142651
Retained Earnings,112046,81618,51266,30784
Accumulated other comprehensive income,239,-1338,-443,-267
Total stockholders' equity,407618,374549,265176,181585
Total liabilities and stockholders' equity,2788535,2974002,1691059,1395551
