Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7475000,10402000,12464000,10096000
Depreciation & amortization,-,9561000,9078000,9225000
Stock based compensation,-,24000,27000,16000
Change in working capital,-,-15039000,1243000,-2923000
Inventory,-,-3067000,-2089000,-388000
Other working capital,-,-15690000,14010000,9035000
Other non-cash items,-,532000,-568000,2832000
Net cash provided by operating activites,-,3219000,24742000,17628000
Investments in property plant and equipment,-,-18909000,-10732000,-8593000
Sales/Maturities of investments,-,52000,-,-
Other investing activites,-,-1295000,-2834000,-678000
Net cash used for investing activites,-,-19539000,-13547000,-9267000
Net change in cash,-,-6303000,4909000,-3509000
Cash at beginning of period,-,38574000,33664000,37174000
Cash at end of period,-,32270000,38574000,33664000
Operating Cash Flow,-,3219000,24742000,17628000
Capital Expenditure,-,-18909000,-10732000,-8593000
Free Cash Flow,-,-15690000,14010000,9035000
