Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,9717,9682,10416,10221,10661
Interest Expense,3624,3252,2161,1457,1360
Income Before Tax,1179,953,1286,1448,2097
Income Tax Expense,190,141,-37,513,596
Income from Continuing Operations,989,812,1323,935,1501
Net Income,989,812,1323,935,1501
Net Income available to common shareholders,989,812,1323,935,1501
Basic EPS,-,0.10,0.16,0.11,0.18
Diluted EPS,-,0.10,0.16,0.11,0.18
Basic Average Shares,-,8336,8367,8345,8324
Diluted Average Shares,-,8336,8367,8345,8324
