Breakdown,ttm,12/31/2019
Acquisitions net,105.6238,105.6238
Other investing activites,-585.2127,-585.2127
Net cash used for investing activites,-479.5889,-479.5889
Debt repayment,-7137,-7137
Common stock issued,108808,108808
Common stock repurchased,-3376,-3376
Net cash used privided by (used for) financing activities,98296,98296
Net change in cash,54258,54258
Cash at beginning of period,37191,37191
Cash at end of period,91449,91449
Free Cash Flow,-43558,-43558
