Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1053756,1059901,925522,744983
Liabilities,,,,
Total Liabilities,895354,890729,760737,651991
Stockholders' Equity,,,,
Common Stock,185,185,185,-
Retained Earnings,93688,98813,94855,99242
Accumulated other comprehensive income,20,-8135,-7851,-6250
Total stockholders' equity,158402,169172,164785,92992
Total liabilities and stockholders' equity,1053756,1059901,925522,744983
