Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-123.002,-443.912
Sales/Maturities of investments,-,45.115
Net cash used for investing activites,-99.162,-396.057
Debt repayment,-47.3,-400
Common stock issued,-,11031
Other financing activites,-,-1275
Net cash used privided by (used for) financing activities,-125.04,9356
Net change in cash,-6171,3863
Cash at beginning of period,7284,259.995
Cash at end of period,1113,4120
Capital Expenditure,-123.002,-443.912
Free Cash Flow,-6070,-5540
