Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,4971199,4397843,2743081,3055013
Depreciation & amortization,-,609826,508847,390256
Change in working capital,-,-7076727,-3224825,-107804
Inventory,-,-6968138,-2460738,-516968
Other working capital,-,-6006567,-1930304,2537403
Other non-cash items,-,-58475,-287681,99788
Net cash provided by operating activites,-,-1494259,-27611,3663894
Investments in property plant and equipment,-,-4512308,-1902693,-1126491
Purchases of investments,-,-105122,-28500,-
Sales/Maturities of investments,-,-,3621,88570
Other investing activites,-,-75097,35133,-249279
Net cash used for investing activites,-,-4670850,-1713553,-1194370
Net change in cash,-,2885779,2292182,1868147
Cash at beginning of period,-,8652351,6360169,4492021
Cash at end of period,-,11538131,8652351,6360169
Operating Cash Flow,-,-1494259,-27611,3663894
Capital Expenditure,-,-4512308,-1902693,-1126491
Free Cash Flow,-,-6006567,-1930304,2537403
