Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,520289,791491,751964,477665
Depreciation & amortization,-,564742,540032,496652
Change in working capital,-,-569106,-421049,82884
Inventory,-,-481790,-328216,247994
Other working capital,-,102828,82989,730973
Other non-cash items,-,4707,5790,-41266
Net cash provided by operating activites,-,738202,959195,1062637
Investments in property plant and equipment,-,-635374,-876206,-331664
Purchases of investments,-,-1875,-1679,-401760
Sales/Maturities of investments,-,134178,100226,910574
Other investing activites,-,1,-,-2
Net cash used for investing activites,-,-501175,-775269,177663
Net change in cash,-,-155446,-89360,1051280
Cash at beginning of period,-,2782684,2872044,1820764
Cash at end of period,-,2627237,2782684,2872044
Operating Cash Flow,-,738202,959195,1062637
Capital Expenditure,-,-635374,-876206,-331664
Free Cash Flow,-,102828,82989,730973
