Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4595000,4186000,5523000,10152000
Depreciation & amortization,-,1939000,2064000,2215000
Change in working capital,-,-75504000,-41900000,144540000
Other working capital,-,-74354000,-58244000,118255000
Other non-cash items,-,-32166000,-54298000,-64265000
Net cash provided by operating activites,-,-72957000,-56002000,120621000
Investments in property plant and equipment,-,-1397000,-2242000,-2366000
Acquisitions net,-,-,-,-1981000
Purchases of investments,-,-665301000,-999634000,-587092000
Sales/Maturities of investments,-,737241000,1041366000,556549000
Other investing activites,-,-2000,-3000,-2000
Net cash used for investing activites,-,70537000,39533000,-34825000
Net change in cash,-,-15195000,-18054000,74066000
Cash at beginning of period,-,408526000,426580000,352514000
Cash at end of period,-,393330000,408526000,426580000
Operating Cash Flow,-,-72957000,-56002000,120621000
Capital Expenditure,-,-1397000,-2242000,-2366000
Free Cash Flow,-,-74354000,-58244000,118255000
