Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-484911,-238186,252763,204383
Depreciation & amortization,-,165064,161435,147731
Change in working capital,-,-369526,-210122,-290769
Inventory,-,12295,108327,-108612
Other working capital,-,-580099,-50342,-411176
Other non-cash items,-,-31614,-43066,-51699
Net cash provided by operating activites,-,-365215,102672,-254920
Investments in property plant and equipment,-,-214884,-153014,-156256
Purchases of investments,-,-9490,-8289,-67267
Sales/Maturities of investments,-,63484,157558,200000
Other investing activites,-,-1737,6884,-9091
Net cash used for investing activites,-,-142005,65321,796499
Net change in cash,-,-608298,-4209,445482
Cash at beginning of period,-,3057150,3061360,2615878
Cash at end of period,-,2448852,3057150,3061360
Operating Cash Flow,-,-365215,102672,-254920
Capital Expenditure,-,-214884,-153014,-156256
Free Cash Flow,-,-580099,-50342,-411176
