Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9831000,14665000,12717000,9909000
Depreciation & amortization,-,2881000,2643000,2482000
Stock based compensation,-,175000,184000,116000
Change in working capital,-,-5841000,-4276000,-95000
Inventory,-,-7891000,-5288000,-1575000
Other working capital,-,-24000,8128000,7552000
Other non-cash items,-,705000,1013000,75000
Net cash provided by operating activites,-,12932000,10931000,12809000
Investments in property plant and equipment,-,-12956000,-2803000,-5257000
Acquisitions net,-,-569000,-397000,-
Purchases of investments,-,-490000,-1655000,-41000
Sales/Maturities of investments,-,354000,94000,1797000
Other investing activites,-,-277000,-102000,53000
Net cash used for investing activites,-,-13952000,-4649000,-3486000
Net change in cash,-,4200000,3264000,6238000
Cash at beginning of period,-,37090000,33825000,27308000
Cash at end of period,-,41290000,37090000,33825000
Operating Cash Flow,-,12932000,10931000,12809000
Capital Expenditure,-,-12956000,-2803000,-5257000
Free Cash Flow,-,-24000,8128000,7552000
