Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-91000,-91000,82000,236000,198000
Depreciation & amortization,232000,232000,117000,136000,163000
Stock based compensation,3000,3000,8000,9000,10000
Change in working capital,-121000,-121000,68000,-35000,86000
Inventory,-8000,-8000,-10000,1000,-5000
Other working capital,414000,414000,315000,402000,522000
Other non-cash items,-,-,-,0,0
Net cash provided by operating activites,414000,414000,315000,402000,522000
Investments in property plant and equipment,-,-,-,-109000,-116000
Acquisitions net,-5000,-5000,-20000,-9000,-21000
Purchases of investments,-6000,-6000,-,-,0
Sales/Maturities of investments,-,-,0,3000,7000
Other investing activites,-127000,-127000,-114000,-109000,-116000
Net cash used for investing activites,-85000,-85000,-48000,81000,-17000
Net change in cash,-101000,-101000,58000,-87000,198000
Cash at beginning of period,673000,673000,571000,672000,407000
Cash at end of period,519000,519000,673000,571000,692000
Operating Cash Flow,414000,414000,315000,402000,522000
Capital Expenditure,-,-,-,-109000,-116000
Free Cash Flow,414000,414000,315000,402000,522000
