Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1651661,529852,1010233,1346734
Depreciation & amortization,-,23925,18542,37057
Change in working capital,594653,642221,-444382,-1721460
Inventory,51612,-50633,11118,-1918687
Other working capital,2046246,1439095,299944,-1212814
Other non-cash items,-,101629,62869,213278
Net cash provided by operating activites,2068657,1448488,306553,-1210326
Investments in property plant and equipment,-22411,-9393,-6609,-2488
Acquisitions net,-1445556,-2812308,-5112499,-1491587
Purchases of investments,-102122,-66883,-50975,-142393
Sales/Maturities of investments,-,4570,160043,11300
Other investing activites,-,90000,-530,-
Net cash used for investing activites,-140584,-1928776,-2054132,-409771
Net change in cash,527458,-1170270,-994874,46794
Cash at beginning of period,1970138,2577148,3572022,3525228
Cash at end of period,2497596,1406878,2577148,3572022
Operating Cash Flow,2068657,1448488,306553,-1210326
Capital Expenditure,-22411,-9393,-6609,-2488
Free Cash Flow,2046246,1439095,299944,-1212814
