Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-12.378,-25.312,-18.486,-31.313,-7.236
Net cash used for investing activites,-12.378,-25.312,-18.486,-31.313,-7.236
Debt repayment,-640,-660,-485,-,-1.428
Common stock issued,-,-,-,2904,-
Common stock repurchased,-,-,-,-60,-
Net cash used privided by (used for) financing activities,1100,1580,175,3329,385.529
Net change in cash,32.331,350.663,-1081,1118,-600.809
Cash at beginning of period,436.335,51.087,1132,13.946,614.755
Cash at end of period,468.666,401.75,51.087,1132,13.946
Capital Expenditure,-12.378,-25.312,-18.486,-31.313,-7.236
Free Cash Flow,-1068,-1229,-1256,-2211,-986.338
