Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10440000,9346000,3958000,7276000
Depreciation & amortization,2718000,2653000,2384000,2338000
Change in working capital,-51177000,-47414000,-74204000,-60421000
Inventory,-,-,7305000,-5607000
Other working capital,-46528000,-42928000,-72392000,-53433000
Other non-cash items,-360000,-133000,-1373000,-518000
Net cash provided by operating activites,-44843000,-41768000,-70220000,-51220000
Investments in property plant and equipment,-1685000,-1160000,-2172000,-2213000
Purchases of investments,-,-1085000,-417000,-2175000
Sales/Maturities of investments,-,506000,-,-
Other investing activites,-2278000,-2478000,-956000,-1802000
Net cash used for investing activites,-3963000,-4217000,-3545000,-6190000
Net change in cash,-5974000,6784000,-5963000,-6345000
Cash at beginning of period,44532000,29323000,33560000,39906000
Cash at end of period,38837000,36108000,29323000,33560000
Operating Cash Flow,-44843000,-41768000,-70220000,-51220000
Capital Expenditure,-1685000,-1160000,-2172000,-2213000
Free Cash Flow,-46528000,-42928000,-72392000,-53433000
