Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,19.536,35.22,29.732,32.152
Liabilities,,,,
Total Liabilities,3186,3184,3141,2900
Stockholders' Equity,,,,
Common Stock,133587,133587,133587,133587
Retained Earnings,-136754,-136736,-136698,-136455
Accumulated other comprehensive income,-,-,0.001,-
Total stockholders' equity,-3167,-3149,-3111,-2868
Total liabilities and stockholders' equity,19.536,35.22,29.732,32.152
