Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2554907,2064798,1743799,1588582
Depreciation & amortization,-,477075,432306,468310
Change in working capital,-,-2011643,-296363,-742651
Inventory,-,-262475,-241700,-100755
Other working capital,-,-168625,1560141,923801
Other non-cash items,-,117727,227045,34812
Net cash provided by operating activites,-,726047,2365132,1408998
Investments in property plant and equipment,-,-894672,-804991,-485197
Acquisitions net,-,-70561,-,-
Purchases of investments,-,-171578,-324971,-30024
Sales/Maturities of investments,-,97469,12127,10073
Other investing activites,-,-28410,-76755,-50993
Net cash used for investing activites,-,-1175348,-1122429,-559270
Net change in cash,-,1436641,1446345,240638
Cash at beginning of period,-,7367811,5921465,5680826
Cash at end of period,-,8832403,7367811,5921465
Operating Cash Flow,-,726047,2365132,1408998
Capital Expenditure,-,-894672,-804991,-485197
Free Cash Flow,-,-168625,1560141,923801
